1.79654;1.18343
1.77969;1.59685
1.44583;1.09997
1.45925;1.33371
1.14287;1.65089
1.05641;1.722
1.93855;1.00078
1.99221;1.61748
1.61165;1.00707
1.02306;1.52477
1.39986;1.04667
1.97376;1.23277
1.09061;1.61839
1.38246;1.98323
1.46676;1.85994
1.68031;1.4505
1.01326;1.9422
1.56329;1.38542
1.01597;1.23089
1.24103;1.68326
1.61;1.83319
1.17336;1.39106
1.18224;1.75536
1.42516;1.20794
1.5677;1.03131
1.84228;1.44975
1.39515;1.92666
1.72727;1.32654
1.57044;1.52083
1.96117;1.84453
1.74732;1.53969
1.58675;1.96526
1.60703;1.276
1.29627;1.16527
1.01564;1.4234
1.39488;1.29349
1.01408;1.19884
1.71134;1.79018
1.60596;1.9263
1.65108;1.91496
1.85004;1.44945
1.09541;1.37082
1.66884;1.66592
1.5913;1.27472
1.56124;1.38293
1.97171;1.84891
1.72173;1.23598
1.25607;1.04043
1.71066;1.11089
1.43934;1.20172
1.89576;1.47537
1.56328;1.69552
1.13933;1.60442
1.53984;1.20306
1.94285;1.59887
1.69478;1.88047
1.62435;1.29563
1.10549;1.45653
1.21844;1.41651
1.88328;1.32435
1.12209;1.3563
1.90683;1.27213
1.64769;1.00052
1.35257;1.30478
1.16466;1.53409
1.48483;1.69244
1.26941;1.24413
1.16829;1.21876
1.5581;1.40384
1.06489;1.25392
1.24688;1.6963
1.71227;1.14809
1.99774;1.26678
1.97661;1.41104
1.03305;1.34507
1.63435;1.68071
1.53093;1.44778
1.55289;1.5927
1.08085;1.36965
1.24216;1.80314
1.4703;1.98342
1.39882;1.81643
1.79835;1.15072
1.5082;1.69581
1.85836;1.32596
1.22024;1.71115
1.8095;1.34867
1.09618;1.94052
1.39757;1.51775
1.83771;1.67569
1.73522;1.20907
1.54145;1.69578
1.22855;1.17495
1.98217;1.51664
1.26083;1.99625
1.96542;1.55829
1.88264;1.18871
1.27887;1.70036
1.84666;1.85632
1.40451;1.88777
